TransactionID|OrderID|CustomerName|ProductName|OrderDate|ShipDate|ShipMode|SalesAmount,,,,,
541|CA-2015-140795|Bradley Drucker|Enermax Aurora Lite Keyboard|2015-01-02|2015-03-02|First Class|468.9,,,,,
158|CA-2015-104269|Dave Brooks|Global Deluxe High-Back Manager's Chair|2015-01-03|2015-06-03|Second Class|457.568,,,,,
5714|US-2015-143707|Hallie Redmond|Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4|2015-01-03|2015-05-03|Standard Class|5.94,,,,,
6548|CA-2015-113880|Vicky Freymann|Novimex Swivel Fabric Task Chair|2015-01-03|2015-05-03|Standard Class|634.116,,,,,
"6549|CA-2015-113880|Vicky Freymann|Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book|2015-01-03|2015-05-03|Standard Class|17.472",,,,,
7948|CA-2015-131009|Shahid Collister|Plymouth Boxed Rubber Bands by Plymouth|2015-01-03|2015-05-03|Standard Class|18.84,,,,,
7949|CA-2015-131009|Shahid Collister|Harbour Creations Steel Folding Chair|2015-01-03|2015-05-03|Standard Class|362.25,,,,,
7950|CA-2015-131009|Shahid Collister|DAX Black Cherry Wood-Tone Poster Frame|2015-01-03|2015-05-03|Standard Class|63.552,,,,,
7951|CA-2015-131009|Shahid Collister|Fellowes Bankers Box Recycled Super Stor/Drawer|2015-01-03|2015-05-03|Standard Class|129.552,,,,,
8310|CA-2015-168312|Giulietta Weimer|Recycled Steel Personal File for Hanging File Folders|2015-01-03|2015-07-03|Standard Class|137.352,,,,,
8311|CA-2015-168312|Giulietta Weimer|Bevis Round Conference Room Tables and Bases|2015-01-03|2015-07-03|Standard Class|376.509,,,,,
1373|US-2015-157021|Kunst Miller|Avery 490|2015-01-04|2015-06-04|Second Class|29.6,,,,,
1374|US-2015-157021|Kunst Miller|Pressboard Data Binder, Crimson," 12"" X 8 1/2""|2015-01-04|2015-06-04|Second Class|17.088",,,
7954|CA-2015-138359|Katharine Harms|Rogers Profile Extra Capacity Storage Tub|2015-01-04|2015-06-04|Standard Class|66.96,,,,,
7955|CA-2015-138359|Katharine Harms|Zipper Ring Binder Pockets|2015-01-04|2015-06-04|Standard Class|6.24,,,,,
245|CA-2015-131926|Dianna Wilson|Global Deluxe High-Back Manager's Chair|2015-01-06|2015-06-06|Second Class|2001.86,,,,,
246|CA-2015-131926|Dianna Wilson|Safco Steel Mobile File Cart|2015-01-06|2015-06-06|Second Class|166.72,,,,,
247|CA-2015-131926|Dianna Wilson|Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book|2015-01-06|2015-06-06|Second Class|47.88,,,,
248|CA-2015-131926|Dianna Wilson|Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room|2015-01-06|2015-06-06|Second Class|1503.25,,,,,
249|CA-2015-131926|Dianna Wilson|Xerox 205|2015-01-06|2015-06-06|Second Class|25.92,,,,,
307|CA-2015-111003|Corey Roper|GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack|2015-01-06|2015-06-06|Standard Class|45.48,,
308|CA-2015-111003|Corey Roper|Boston Heavy-Duty Trimline Electric Pencil Sharpeners|2015-01-06|2015-06-06|Standard Class|289.2,,,,,
2201|US-2015-165659|Liz Thompson|3M Hangers With Command Adhesive|2015-01-06|2015-06-06|Standard Class|22.2,,,,,
2202|US-2015-165659|Liz Thompson|Adtran 1202752G1|2015-01-06|2015-06-06|Standard Class|881.93,,,,,
9150|US-2015-157070|Quincy Jones|Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges|2015-01-06|2015-06-06|Standard Class|138.56,,,,,
9151|US-2015-157070|Quincy Jones|Acco 6 Outlet Guardian Premium Surge Suppressor|2015-01-06|2015-06-06|Standard Class|65.52,,,,,
716|CA-2015-153150|Dorris liebe|Cardinal Holdit Business Card Pockets|2015-01-07|2015-06-07|Second Class|19.92,,,,,
1319|CA-2015-160773|Laurel Workman|Wilson SignalBoost 841262 DB PRO Amplifier Kit|2015-01-07|2015-05-07|Standard Class|575.92,,,,,
1320|CA-2015-160773|Laurel Workman|Avery Durable Binders|2015-01-07|2015-05-07|Standard Class|5.184,,,,,
1838|CA-2015-117345|Barbara Fisher|Self-Adhesive Address Labels for Typewriters by Universal|2015-01-08|2015-05-08|Standard Class|17.544,,,,,
1839|CA-2015-117345|Barbara Fisher|9-3/4 Diameter Round Wall Clock|2015-01-08|2015-05-08|Standard Class|44.128,,,,,
1840|CA-2015-117345|Barbara Fisher|Honeywell Quietcare HEPA Air Cleaner|2015-01-08|2015-05-08|Standard Class|62.92,,,,,
1841|CA-2015-117345|Barbara Fisher|Xerox 1916|2015-01-08|2015-05-08|Standard Class|78.304,,,,,
2173|CA-2015-152296|Ivan Liston|Wilson Jones data.warehouse D-Ring Binders with DublLock|2015-01-08|2015-03-08|First Class|19.752,,,,,
2411|CA-2015-162684|Ann Steele|Acco Clips to Go Binder Clips, 24 Clips in Two Sizes|2015-01-08|2015-06-08|Standard Class|5.68,,,,
1162|CA-2015-126522|Larry Tron|BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain|2015-01-09|2015-05-09|Second Class|53.94,,,,
3194|CA-2015-165428|Jack Lebron|Prestige Round Ring Binders|2015-01-09|2015-04-09|First Class|3.648,,,,,
3195|CA-2015-165428|Jack Lebron|Xerox 216|2015-01-09|2015-04-09|First Class|31.104,,,,,
8242|CA-2015-109855|Lena Hernandez|Wilson Jones Hanging Recycled Pressboard Data Binders|2015-01-09|2015-05-09|Standard Class|23.744,,,,,
8243|CA-2015-109855|Lena Hernandez|WD My Passport Ultra 2TB Portable External Hard Drive|2015-01-09|2015-05-09|Standard Class|357,,,,,
8706|US-2015-132745|Neil Französisch|Sterling Rubber Bands by Alliance|2015-01-10|2015-05-10|Standard Class|4.71,,,,,
806|CA-2015-134313|Russell Applegate|Model L Table or Wall-Mount Pencil Sharpener|2015-01-11|2015-07-11|Standard Class|43.176,,,,,
807|CA-2015-134313|Russell Applegate|ClearOne CHATAttach 160 - speaker phone|2015-01-11|2015-07-11|Standard Class|1983.968,,,,,
2832|CA-2015-148915|Natalie DeCherney|Carina Mini System Audio Rack, Model AR050B|2015-01-11|2015-05-11|Standard Class|443.92,,,,
2833|CA-2015-148915|Natalie DeCherney|Plantronics Voyager Pro HD - Bluetooth Headset|2015-01-11|2015-05-11|Standard Class|155.976,,,,,
4066|CA-2015-102673|Ken Heidel|Staples|2015-01-11|2015-05-11|Standard Class|7.52,,,,,
4067|CA-2015-102673|Ken Heidel|Newell 320|2015-01-11|2015-05-11|Standard Class|10.272,,,,,
4068|CA-2015-102673|Ken Heidel|Avery 513|2015-01-11|2015-05-11|Standard Class|47.808,,,,,
4069|CA-2015-102673|Ken Heidel|Cisco IP Phone 7961G VoIP phone - Dark gray|2015-01-11|2015-05-11|Standard Class|978.84,,,,,
4159|CA-2015-126907|Suzanne McNair|Southworth Parchment Paper & Envelopes|2015-01-11|2015-08-11|Standard Class|15.696,,,,,
4828|CA-2015-152562|Jack O'Briant|Multi-Use Personal File Cart and Caster Set, Three Stacking Bins|2015-01-11|2015-08-11|Standard Class|69.52,,,,
4829|CA-2015-152562|Jack O'Briant|OIC #2 Pencils, Medium Soft|2015-01-11|2015-08-11|Standard Class|5.64,,,,
5896|CA-2015-168305|Paul Lucas|Avery 475|2015-01-11|2015-08-11|Standard Class|44.4,,,,,
5897|CA-2015-168305|Paul Lucas|Easy-staple paper|2015-01-11|2015-08-11|Standard Class|21.4,,,,,
7559|US-2015-137155|Daniel Lacy|Kensington 7 Outlet MasterPiece Power Center|2015-01-11|2015-05-11|Standard Class|533.94,,,,,
7560|US-2015-137155|Daniel Lacy|Xerox 1934|2015-01-11|2015-05-11|Standard Class|167.94,,,,,
7561|US-2015-137155|Daniel Lacy|Master Big Foot Doorstop, Beige|2015-01-11|2015-05-11|Standard Class|31.68,,,,
8389|CA-2015-139423|Deirdre Greer|Fellowes Superior 10 Outlet Split Surge Protector|2015-01-11|2015-05-11|Standard Class|76.12,,,,,
